Time,Open,High,Low,Close,Change,%Chg,Volume,"Open Int"
11/25/2022,95.405,95.44,95.325,95.375,0.005,+0.01%,495,8884
11/23/2022,95.33,95.4,95.26,95.37,0.02,+0.02%,614,8738
11/22/2022,95.295,95.38,95.295,95.35,0.02,+0.02%,1078,8797
11/21/2022,95.365,95.375,95.3,95.33,-0.035,-0.04%,800,8891
11/18/2022,95.45,95.46,95.33,95.365,-0.09,-0.09%,816,9115
11/17/2022,95.58,95.585,95.415,95.455,-0.115,-0.12%,492,9155
11/16/2022,95.59,95.635,95.555,95.57,-0.02,-0.02%,1209,9213
11/15/2022,95.54,95.635,95.525,95.59,0.07,+0.07%,2951,9070
11/14/2022,95.54,95.545,95.485,95.52,-0.065,-0.07%,3485,8175
11/11/2022,95.585,95.615,95.55,95.585,-0.025,-0.03%,465,9002
11/10/2022,95.26,95.64,95.255,95.61,0.345,+0.36%,3183,9067
11/09/2022,95.22,95.315,95.195,95.265,0.06,+0.06%,999,9445
11/08/2022,95.135,95.22,95.12,95.205,0.07,+0.07%,834,9006
11/07/2022,95.17,95.19,95.125,95.135,-0.07,-0.07%,2181,9072
11/04/2022,95.12,95.215,94.95,95.205,0.075,+0.08%,956,9011
11/03/2022,95.21,95.21,95.085,95.13,-0.16,-0.17%,1041,8947
11/02/2022,95.39,95.465,95.195,95.29,-0.075,-0.08%,1795,8857
11/01/2022,95.45,95.535,95.34,95.365,-0.06,-0.06%,1132,8635
10/31/2022,95.48,95.485,95.395,95.425,-0.09,-0.09%,1236,8883
10/28/2022,95.65,95.725,95.505,95.515,-0.135,-0.14%,3164,8584
10/27/2022,95.535,95.725,95.47,95.65,0.13,+0.14%,5049,6246
10/26/2022,95.44,95.555,95.42,95.52,0.085,+0.09%,1420,3757
10/25/2022,95.405,95.52,95.37,95.435,0.05,+0.05%,3303,3365
10/24/2022,95.41,95.485,95.355,95.385,0.005,+0.01%,1126,4565
10/21/2022,95.235,95.435,95.215,95.38,0.145,+0.15%,1735,4771
10/20/2022,95.285,95.33,95.215,95.235,-0.115,-0.12%,1938,4549
10/19/2022,95.415,95.42,95.325,95.35,-0.12,-0.13%,1335,4534
10/18/2022,95.445,95.5,95.435,95.47,0.04,+0.04%,748,4548
10/17/2022,95.415,95.495,95.415,95.43,0.055,+0.06%,695,4572
10/14/2022,95.495,95.51,95.37,95.375,-0.08,-0.08%,981,4590
10/13/2022,95.635,95.685,95.36,95.455,-0.2,-0.21%,1931,4964
10/12/2022,95.605,95.67,95.605,95.655,0.05,+0.05%,697,5452
10/11/2022,95.57,95.655,95.53,95.605,0.05,+0.05%,2145,5317
10/10/2022,95.62,95.63,95.54,95.555,-0.045,-0.05%,62,5435
10/07/2022,95.65,95.685,95.585,95.6,-0.1,-0.10%,593,5421
10/06/2022,95.79,95.835,95.67,95.7,-0.12,-0.13%,1406,5648
10/05/2022,95.905,95.91,95.77,95.82,-0.07,-0.07%,992,5666
10/04/2022,95.885,96,95.875,95.89,0.03,+0.03%,2656,5374
10/03/2022,95.76,95.955,95.73,95.86,0.1,+0.10%,3259,5077
09/30/2022,95.785,95.815,95.68,95.76,-0.025,-0.03%,1334,4080
09/29/2022,95.775,95.785,95.675,95.785,-0.045,-0.05%,2875,3873
09/28/2022,95.645,95.87,95.595,95.83,0.23,+0.24%,2982,2908
09/27/2022,95.55,95.72,95.55,95.6,0.09,+0.09%,4195,2471
09/26/2022,95.54,95.62,95.44,95.51,-0.075,-0.08%,1581,2937
09/23/2022,95.71,95.71,95.51,95.585,-0.1,-0.10%,388,2832
09/22/2022,95.745,95.8,95.665,95.685,-0.185,-0.19%,1264,2833
09/21/2022,95.955,95.98,95.73,95.87,-0.065,-0.07%,474,3027
09/20/2022,95.93,95.965,95.9,95.935,-0.015,-0.02%,276,3008
09/19/2022,96.015,96.015,95.94,95.95,-0.105,-0.11%,292,2988
09/16/2022,95.99,96.055,95.96,96.055,0.045,+0.05%,239,2929
09/15/2022,96.045,96.06,96,96.01,-0.12,-0.12%,271,2892
09/14/2022,96.11,96.2,96.08,96.13,-0.055,-0.06%,455,2801
09/13/2022,96.42,96.445,96.155,96.185,-0.195,-0.20%,1997,2713
09/12/2022,96.43,96.44,96.375,96.38,0.01,+0.01%,601,2134
09/09/2022,96.46,96.505,96.37,96.37,-0.08,-0.08%,172,2034
09/08/2022,96.495,96.52,96.43,96.45,-0.03,-0.03%,201,1972
